Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media
83967;01/01/2000;0;2.6;26.1;18.2;7.6;0.7;21.98;73.25;4.133.333
83967;01/01/2000;1200;2.6;;18.2;;;;;
83967;02/01/2000;0;;27;;11.2;3;21.96;66.5;1.5
83967;02/01/2000;1200;0;;17.8;;;;;
83967;03/01/2000;0;;24.6;;3.1;3.5;21.3;72;3.333.333
83967;03/01/2000;1200;0;;17;;;;;
83967;04/01/2000;0;;27.4;;4.4;2.3;22.24;81.25;0.933333
83967;04/01/2000;1200;0.1;;19.7;;;;;
83967;05/01/2000;0;;31.8;;11.2;1.7;24.4;71.75;0.933333
83967;05/01/2000;1200;0;;17.8;;;;;
83967;06/01/2000;0;;31.8;;8.5;3.2;25;76.75;1.5
83967;06/01/2000;1200;0;;21.2;;;;;
83967;07/01/2000;0;;31.8;;10.2;2.9;25.38;75.5;1.866.667
83967;07/01/2000;1200;0;;21.6;;;;;
83967;08/01/2000;0;;34.2;;10.8;3;27.8;65.25;1.966.667
83967;08/01/2000;1200;0;;22.4;;;;;
83967;09/01/2000;0;;35.8;;10.9;3.9;28.12;64;2.2
83967;09/01/2000;1200;0;;21.8;;;;;
83967;10/01/2000;0;;32.4;;6.8;4.6;27.6;68.5;1.366.667
83967;10/01/2000;1200;0;;24;;;;;
83967;11/01/2000;0;;35;;10.6;4;28.4;63.75;2.266.667
83967;11/01/2000;1200;0;;23.4;;;;;
83967;12/01/2000;0;;32.4;;7.7;4.5;26.56;74;1.433.333
83967;12/01/2000;1200;0;;22.4;;;;;
83967;13/01/2000;0;;32.8;;2;2.8;27.4;79.5;0.666667
83967;13/01/2000;1200;1.9;;23.2;;;;;
83967;14/01/2000;0;;33.8;;9.5;2.2;26.92;74.25;0.933333
83967;14/01/2000;1200;0;;22;;;;;
83967;15/01/2000;0;;31.4;;1.4;3;26.2;80.75;0.933333
83967;15/01/2000;1200;0.1;;23.8;;;;;
83967;16/01/2000;0;;34;;6.7;2.1;26.6;79.75;1.3
83967;16/01/2000;1200;0;;23;;;;;
83967;17/01/2000;0;;33.5;;5.6;2.7;27.34;83.25;2.866.667
83967;17/01/2000;1200;3.2;;24.4;;;;;
83967;18/01/2000;0;;27.2;;0.8;2.6;24.32;76.5;1.766.667
83967;18/01/2000;1200;2.3;;23.2;;;;;
83967;19/01/2000;0;;30;;11.6;2.3;23.64;68;2.4
83967;19/01/2000;1200;0;;18;;;;;
83967;20/01/2000;0;;32.8;;10.3;3.8;24.96;67.25;1.4
83967;20/01/2000;1200;0;;18.6;;;;;
83967;21/01/2000;0;;35.8;;11.2;3.6;27.32;62.5;2
83967;21/01/2000;1200;0;;19.2;;;;;
83967;22/01/2000;0;;32.6;;7;2.9;25.72;70.5;3.133.333
83967;22/01/2000;1200;0;;16.8;;;;;
83967;23/01/2000;0;;26.8;;0.1;9;23.72;77.5;2.266.667
83967;23/01/2000;1200;0;;22;;;;;
83967;24/01/2000;0;;28.8;;9;2;24.32;74.5;4.1
83967;24/01/2000;1200;0;;19.8;;;;;
83967;25/01/2000;0;;23.9;;1.6;2.8;20.62;89.25;2.233.333
83967;25/01/2000;1200;25;;18;;;;;
83967;26/01/2000;0;;27.4;;10.4;1.2;22.22;65.75;2.566.667
83967;26/01/2000;1200;3.4;;17;;;;;
83967;27/01/2000;0;;27.8;;10.4;3.2;22.28;71;1.966.667
83967;27/01/2000;1200;0;;17.2;;;;;
83967;28/01/2000;0;;28.4;;11.3;4.2;22.4;63;1.966.667
83967;28/01/2000;1200;0;;17.2;;;;;
83967;29/01/2000;0;;32.3;;10.6;4;24.42;66.75;2.166.667
83967;29/01/2000;1200;0;;18.6;;;;;
83967;30/01/2000;0;;32.7;;6.3;4;25.82;68.5;1.7
83967;30/01/2000;1200;0;;20.6;;;;;
83967;31/01/2000;0;;27.2;;0.9;3.5;22.86;85.5;2
83967;31/01/2000;1200;2.7;;21;;;;;
83967;01/02/2000;0;;27;;1.1;1.3;22.24;86.75;2.433.333
83967;01/02/2000;1200;2.7;;19.4;;;;;
83967;02/02/2000;0;;29.4;;1.7;2.2;24.22;80.75;1.1
83967;02/02/2000;1200;0.3;;20.8;;;;;
83967;03/02/2000;0;;27.4;;1;1.8;23.54;87.5;1.266.667
83967;03/02/2000;1200;0;;20.1;;;;;
83967;04/02/2000;0;;27.4;;6.8;1.2;22.7;80;1.966.667
83967;04/02/2000;1200;6.3;;18.6;;;;;
83967;05/02/2000;0;;29.8;;11;2.2;23.76;74;1.8
83967;05/02/2000;1200;0;;18.2;;;;;
83967;06/02/2000;0;;31.4;;10.2;3;24.28;75;1.633.333
83967;06/02/2000;1200;0;;19.4;;;;;
83967;07/02/2000;0;;30.1;;11;5.3;24.02;70.5;3.366.667
83967;07/02/2000;1200;0;;19.6;;;;;
83967;08/02/2000;0;;32.4;;11.1;1.6;24.84;70.25;1.866.667
83967;08/02/2000;1200;0;;19.2;;;;;
83967;09/02/2000;0;;33.6;;9.2;3.6;25.3;75.75;1.2
83967;09/02/2000;1200;0;;20.5;;;;;
83967;10/02/2000;0;;32.2;;11.2;3.1;25.6;71.5;1.533.333
83967;10/02/2000;1200;31.9;;20.4;;;;;
83967;11/02/2000;0;;32.8;;9.6;2.9;26.08;76;1.2
83967;11/02/2000;1200;0;;21.3;;;;;
83967;12/02/2000;0;;36.8;;10.7;3.3;28.42;68;0.833333
83967;12/02/2000;1200;0;;21.5;;;;;
83967;13/02/2000;0;;31.2;;6.3;4;26.44;73;2.2
83967;13/02/2000;1200;0;;23.5;;;;;
83967;14/02/2000;0;;25.2;;0;2.8;22.04;85;5.2
83967;14/02/2000;1200;6.6;;20.4;;;;;
83967;15/02/2000;0;;23.6;;0.3;2.4;21.54;83.25;3
83967;15/02/2000;1200;0.4;;20.1;;;;;
83967;16/02/2000;0;;27.4;;10.5;1.1;22.2;67.75;3.533.333
83967;16/02/2000;1200;1.8;;17.6;;;;;
83967;17/02/2000;0;;27.8;;10.4;3.7;22.18;69;2.833.333
83967;17/02/2000;1200;0.1;;18;;;;;
83967;18/02/2000;0;;29;;10.8;3.8;22.78;65;2.8
83967;18/02/2000;1200;0;;18.4;;;;;
83967;19/02/2000;0;;29.8;;10.1;4.1;22.86;64;1.3
83967;19/02/2000;1200;0;;17.5;;;;;
83967;20/02/2000;0;;30.6;;9.2;3.6;23.62;66.75;1.366.667
83967;20/02/2000;1200;0;;18.5;;;;;
83967;21/02/2000;0;;29.2;;3.9;3.8;24.1;71.25;0.766667
83967;21/02/2000;1200;0;;19.8;;;;;
83967;22/02/2000;0;;30;;8;2.3;24.28;74.25;2.133.333
83967;22/02/2000;1200;0;;20;;;;;
83967;23/02/2000;0;;30.8;;8.7;2.8;23.64;78.25;1.2
83967;23/02/2000;1200;0;;20.2;;;;;
83967;24/02/2000;0;;33;;9;2.4;24.8;69;1.466.667
83967;24/02/2000;1200;4.6;;19.3;;;;;
83967;25/02/2000;0;;32.4;;7.9;3.5;25.1;68.25;1.766.667
83967;25/02/2000;1200;0;;20.3;;;;;
83967;26/02/2000;0;;32;;3.7;3.5;25.16;77.25;1.466.667
83967;26/02/2000;1200;0;;21.4;;;;;
83967;27/02/2000;0;;36.3;;5.1;4.6;26.78;75.5;2.366.667
83967;27/02/2000;1200;0;;22.8;;;;;
83967;28/02/2000;0;;26.4;;0;1.4;23.48;85.25;2.8
83967;28/02/2000;1200;53.1;;21.8;;;;;
83967;29/02/2000;0;;23;;0;1.5;21.18;81.25;1.733.333
83967;29/02/2000;1200;0.6;;19.6;;;;;
83967;01/03/2000;0;;23.5;;0;1.7;22.16;91.25;1.066.667
83967;01/03/2000;1200;2.3;;20.2;;;;;
83967;02/03/2000;0;;32.2;;8;0;25.88;81.75;0.766667
83967;02/03/2000;1200;3.3;;22;;;;;
83967;03/03/2000;0;;30;;3.8;2.2;24.92;80.25;0.866667
83967;03/03/2000;1200;0;;21.4;;;;;
83967;04/03/2000;0;;25.8;;0.1;1.9;23.08;94.75;0.233333
83967;04/03/2000;1200;0;;21.6;;;;;
83967;05/03/2000;0;;31.3;;6.8;0.3;24.74;84.25;0.933333
83967;05/03/2000;1200;11.7;;21;;;;;
83967;06/03/2000;0;;24.6;;0.2;1.6;22.8;89.75;1.1
83967;06/03/2000;1200;7.3;;21.8;;;;;
83967;07/03/2000;0;;26.2;;9;0.6;21.44;76.75;2.6
83967;07/03/2000;1200;18.4;;16.8;;;;;
83967;08/03/2000;0;;25.6;;3;2.2;20.56;73.75;1.566.667
83967;08/03/2000;1200;1.3;;16.5;;;;;
83967;09/03/2000;0;;26.4;;6.5;2.8;21.32;70.25;1.733.333
83967;09/03/2000;1200;0;;17;;;;;
83967;10/03/2000;0;;28.6;;7.9;2.8;21.78;73.75;1.2
83967;10/03/2000;1200;0;;17.1;;;;;
