"","TempMaxima","TempMinima","Insolacao","Evaporacao.Piche"
"1",26.1,18.2,7.6,0.7
"2",26.1,18.2,7.6,0.7
"3",27,18.2,11.2,3
"4",27,17.8,11.2,3
"5",24.6,17.8,3.1,3.5
"6",24.6,17,3.1,3.5
"7",27.4,17,4.4,2.3
"8",27.4,19.7,4.4,2.3
"9",31.8,19.7,11.2,1.7
"10",31.8,17.8,11.2,1.7
"11",31.8,17.8,8.5,3.2
"12",31.8,21.2,8.5,3.2
"13",31.8,21.2,10.2,2.9
"14",31.8,21.6,10.2,2.9
"15",34.2,21.6,10.8,3
"16",34.2,22.4,10.8,3
"17",35.8,22.4,10.9,3.9
"18",35.8,21.8,10.9,3.9
"19",32.4,21.8,6.8,4.6
"20",32.4,24,6.8,4.6
"21",35,24,10.6,4
"22",35,23.4,10.6,4
"23",32.4,23.4,7.7,4.5
"24",32.4,22.4,7.7,4.5
"25",32.8,22.4,2,2.8
"26",32.8,23.2,2,2.8
"27",33.8,23.2,9.5,2.2
"28",33.8,22,9.5,2.2
"29",31.4,22,1.4,3
"30",31.4,23.8,1.4,3
"31",34,23.8,6.7,2.1
"32",34,23,6.7,2.1
"33",33.5,23,5.6,2.7
"34",33.5,24.4,5.6,2.7
"35",27.2,24.4,0.8,2.6
"36",27.2,23.2,0.8,2.6
"37",30,23.2,11.6,2.3
"38",30,18,11.6,2.3
"39",32.8,18,10.3,3.8
"40",32.8,18.6,10.3,3.8
"41",35.8,18.6,11.2,3.6
"42",35.8,19.2,11.2,3.6
"43",32.6,19.2,7,2.9
"44",32.6,16.8,7,2.9
"45",26.8,16.8,0.1,9
"46",26.8,22,0.1,9
"47",28.8,22,9,2
"48",28.8,19.8,9,2
"49",23.9,19.8,1.6,2.8
"50",23.9,18,1.6,2.8
"51",27.4,18,10.4,1.2
"52",27.4,17,10.4,1.2
"53",27.8,17,10.4,3.2
"54",27.8,17.2,10.4,3.2
"55",28.4,17.2,11.3,4.2
"56",28.4,17.2,11.3,4.2
"57",32.3,17.2,10.6,4
"58",32.3,18.6,10.6,4
"59",32.7,18.6,6.3,4
"60",32.7,20.6,6.3,4
"61",27.2,20.6,0.9,3.5
"62",27.2,21,0.9,3.5
"63",27,21,1.1,1.3
"64",27,19.4,1.1,1.3
"65",29.4,19.4,1.7,2.2
"66",29.4,20.8,1.7,2.2
"67",27.4,20.8,1,1.8
"68",27.4,20.1,1,1.8
"69",27.4,20.1,6.8,1.2
"70",27.4,18.6,6.8,1.2
"71",29.8,18.6,11,2.2
"72",29.8,18.2,11,2.2
"73",31.4,18.2,10.2,3
"74",31.4,19.4,10.2,3
"75",30.1,19.4,11,5.3
"76",30.1,19.6,11,5.3
"77",32.4,19.6,11.1,1.6
"78",32.4,19.2,11.1,1.6
"79",33.6,19.2,9.2,3.6
"80",33.6,20.5,9.2,3.6
"81",32.2,20.5,11.2,3.1
"82",32.2,20.4,11.2,3.1
"83",32.8,20.4,9.6,2.9
"84",32.8,21.3,9.6,2.9
"85",36.8,21.3,10.7,3.3
"86",36.8,21.5,10.7,3.3
"87",31.2,21.5,6.3,4
"88",31.2,23.5,6.3,4
"89",25.2,23.5,0,2.8
"90",25.2,20.4,0,2.8
"91",23.6,20.4,0.3,2.4
"92",23.6,20.1,0.3,2.4
"93",27.4,20.1,10.5,1.1
"94",27.4,17.6,10.5,1.1
"95",27.8,17.6,10.4,3.7
"96",27.8,18,10.4,3.7
"97",29,18,10.8,3.8
"98",29,18.4,10.8,3.8
"99",29.8,18.4,10.1,4.1
"100",29.8,17.5,10.1,4.1
"101",30.6,17.5,9.2,3.6
"102",30.6,18.5,9.2,3.6
"103",29.2,18.5,3.9,3.8
"104",29.2,19.8,3.9,3.8
"105",30,19.8,8,2.3
"106",30,20,8,2.3
"107",30.8,20,8.7,2.8
"108",30.8,20.2,8.7,2.8
"109",33,20.2,9,2.4
"110",33,19.3,9,2.4
"111",32.4,19.3,7.9,3.5
"112",32.4,20.3,7.9,3.5
"113",32,20.3,3.7,3.5
"114",32,21.4,3.7,3.5
"115",36.3,21.4,5.1,4.6
"116",36.3,22.8,5.1,4.6
"117",26.4,22.8,0,1.4
"118",26.4,21.8,0,1.4
"119",23,21.8,0,1.5
"120",23,19.6,0,1.5
"121",23.5,19.6,0,1.7
"122",23.5,20.2,0,1.7
"123",32.2,20.2,8,0
"124",32.2,22,8,0
"125",30,22,3.8,2.2
"126",30,21.4,3.8,2.2
"127",25.8,21.4,0.1,1.9
"128",25.8,21.6,0.1,1.9
"129",31.3,21.6,6.8,0.3
"130",31.3,21,6.8,0.3
"131",24.6,21,0.2,1.6
"132",24.6,21.8,0.2,1.6
"133",26.2,21.8,9,0.6
"134",26.2,16.8,9,0.6
"135",25.6,16.8,3,2.2
"136",25.6,16.5,3,2.2
"137",26.4,16.5,6.5,2.8
"138",26.4,17,6.5,2.8
"139",28.6,17,7.9,2.8
"140",28.6,17.1,7.9,2.8
"141",27.4,17.1,5,2.7
"142",27.4,18.2,5,2.7
"143",27.2,18.2,5.9,2.5
"144",27.2,18.4,5.9,2.5
"145",29,18.4,10.4,2.7
"146",29,18,10.4,2.7
"147",31.4,18,8.8,2.9
"148",31.4,18.8,8.8,2.9
"149",32,18.8,8.6,2.5
"150",32,20.4,8.6,2.5
"151",33.4,20.4,9.8,2.5
"152",33.4,20.6,9.8,2.5
"153",30.2,20.6,6.9,4.4
"154",30.2,19.8,6.9,4.4
"155",25.8,19.8,10.1,2.6
"156",25.8,17.6,10.1,2.6
"157",26.7,17.6,10.2,3.4
"158",26.7,15,10.2,3.4
"159",30.1,15,10.5,4
